params,full_total_return,full_cagr,full_sharpe,full_sortino,full_max_drawdown,full_calmar,full_exposure,full_avg_leverage,full_trades,full_win_rate,train_total_return,train_cagr,train_sharpe,train_sortino,train_max_drawdown,train_calmar,train_exposure,train_avg_leverage,train_trades,train_win_rate,test_2021_2022_total_return,test_2021_2022_cagr,test_2021_2022_sharpe,test_2021_2022_sortino,test_2021_2022_max_drawdown,test_2021_2022_calmar,test_2021_2022_exposure,test_2021_2022_avg_leverage,test_2021_2022_trades,test_2021_2022_win_rate,test_2023_now_total_return,test_2023_now_cagr,test_2023_now_sharpe,test_2023_now_sortino,test_2023_now_max_drawdown,test_2023_now_calmar,test_2023_now_exposure,test_2023_now_avg_leverage,test_2023_now_trades,test_2023_now_win_rate,robust_score,min_cagr_test
"Params(fast_ema=30, slow_ema=100, entry_breakout=20, exit_breakout=20, vol_window=20, target_vol=1.0, stop_atr=1.5, max_leverage=1.5)",1136.7966259391108,0.8402868672364456,1.3602147524628947,1.2912337680375991,-0.63093266253479,1.3318170339455389,0.6008323720852713,1.3999493910112872,284.0,0.7147887323943662,259.5909452440345,1.4219542231437705,1.7307005241063704,1.6097973496723934,-0.63093266253479,2.2537337303651848,0.6327595130931453,1.373070218213454,195.0,0.7538461538461538,0.7295418509421099,0.3158619314917015,0.7918421309524579,0.6377972643366487,-0.39271383319647635,0.8043055904620362,0.3467594594764119,1.3115772301439415,42.0,0.5238095238095238,1.4730690435440001,0.32161257671828625,0.822837502705929,0.9224801818152416,-0.39696766043626275,0.8101732427393149,0.6952760588320049,1.4816744736689227,41.0,0.6097560975609756,81.2692901234568,0.3158619314917015
"Params(fast_ema=30, slow_ema=100, entry_breakout=20, exit_breakout=20, vol_window=20, target_vol=1.0, stop_atr=2.0, max_leverage=1.5)",1136.7966259391108,0.8402868672364456,1.3602147524628947,1.2912337680375991,-0.63093266253479,1.3318170339455389,0.6008323720852713,1.3999493910112872,284.0,0.7147887323943662,259.5909452440345,1.4219542231437705,1.7307005241063704,1.6097973496723934,-0.63093266253479,2.2537337303651848,0.6327595130931453,1.373070218213454,195.0,0.7538461538461538,0.7295418509421099,0.3158619314917015,0.7918421309524579,0.6377972643366487,-0.39271383319647635,0.8043055904620362,0.3467594594764119,1.3115772301439415,42.0,0.5238095238095238,1.4730690435440001,0.32161257671828625,0.822837502705929,0.9224801818152416,-0.39696766043626275,0.8101732427393149,0.6952760588320049,1.4816744736689227,41.0,0.6097560975609756,81.2692901234568,0.3158619314917015
"Params(fast_ema=50, slow_ema=200, entry_breakout=20, exit_breakout=20, vol_window=20, target_vol=1.0, stop_atr=1.5, max_leverage=1.5)",642.3528039402306,0.7515533393604623,1.280549396071362,1.2011830022921044,-0.661034032562082,1.136935925140706,0.5858772086666003,1.3928214520754205,284.0,0.7429577464788732,139.86557450734594,1.1962674873855632,1.595617427002041,1.437921018845664,-0.661034032562082,1.8096912238375773,0.5839715817601395,1.3555219140250512,190.0,0.7368421052631579,0.6527227460002563,0.2862473342935974,0.7507499489922845,0.5873344309233688,-0.41968697625861395,0.6820496000266871,0.3325520013882802,1.305177209749702,39.0,0.5384615384615384,1.7071125942406309,0.35893313634546464,0.869901683827895,0.9948585535958585,-0.4313534588756016,0.832109095128359,0.745360386378665,1.4819812037378146,42.0,0.5952380952380952,78.91010802469137,0.2862473342935974
"Params(fast_ema=50, slow_ema=200, entry_breakout=20, exit_breakout=20, vol_window=20, target_vol=1.0, stop_atr=2.0, max_leverage=1.5)",627.0372206644068,0.7478993152568711,1.2767418371237773,1.1984511001023896,-0.661034032562082,1.1314081853820908,0.5862330805527214,1.3928818683933035,284.0,0.7429577464788732,139.86557450734594,1.1962674873855632,1.595617427002041,1.437921018845664,-0.661034032562082,1.8096912238375773,0.5839715817601395,1.3555219140250512,190.0,0.7368421052631579,0.6527227460002563,0.2862473342935974,0.7507499489922845,0.5873344309233688,-0.41968697625861395,0.6820496000266871,0.3325520013882802,1.305177209749702,39.0,0.5384615384615384,1.6426673814115351,0.3488869991117638,0.8545158666275032,0.9793180270145415,-0.4377118145822273,0.7970700983814155,0.7466240763533911,1.4820113355041393,42.0,0.5952380952380952,78.3198302469136,0.2862473342935974
"Params(fast_ema=50, slow_ema=150, entry_breakout=20, exit_breakout=10, vol_window=30, target_vol=1.0, stop_atr=2.0, max_leverage=1.5)",534.3897666926262,0.723885757620091,1.3384236449503824,1.1166533910018805,-0.60675064039277,1.1930531414874082,0.4399551839898771,1.4006126136837858,236.0,0.7330508474576272,164.12415988895813,1.2524645151296068,1.7837225399665158,1.4238382840495463,-0.4889739594450103,2.5614135291604585,0.42779381157500285,1.3710881157592143,154.0,0.7662337662337663,0.00501943214775924,0.002511738648477202,0.2385019919976858,0.16436754523884092,-0.5407101632583114,0.0046452588080488485,0.2603856271677488,1.2505362357398466,48.0,0.5833333333333334,2.1604358695932184,0.42529925584212136,1.017567515043577,1.0385409335355529,-0.38283859005875387,1.1109100986315175,0.5739337941748264,1.4972734366714702,25.0,0.8,76.90586419753087,0.002511738648477202
"Params(fast_ema=50, slow_ema=150, entry_breakout=20, exit_breakout=10, vol_window=30, target_vol=1.0, stop_atr=1.5, max_leverage=1.5)",534.3897666926262,0.723885757620091,1.3384236449503824,1.1166533910018805,-0.60675064039277,1.1930531414874082,0.4399551839898771,1.4006126136837858,236.0,0.7330508474576272,164.12415988895813,1.2524645151296068,1.7837225399665158,1.4238382840495463,-0.4889739594450103,2.5614135291604585,0.42779381157500285,1.3710881157592143,154.0,0.7662337662337663,0.00501943214775924,0.002511738648477202,0.2385019919976858,0.16436754523884092,-0.5407101632583114,0.0046452588080488485,0.2603856271677488,1.2505362357398466,48.0,0.5833333333333334,2.1604358695932184,0.42529925584212136,1.017567515043577,1.0385409335355529,-0.38283859005875387,1.1109100986315175,0.5739337941748264,1.4972734366714702,25.0,0.8,76.90586419753087,0.002511738648477202
"Params(fast_ema=30, slow_ema=100, entry_breakout=20, exit_breakout=20, vol_window=20, target_vol=0.8, stop_atr=2.0, max_leverage=1.5)",652.4116339301354,0.7539102123009997,1.3564053528934383,1.2929627332854488,-0.5743913304699975,1.3125375894585847,0.5572803931355893,1.2984725578034872,449.0,0.7060133630289532,184.70943689679842,1.2949396566920317,1.7693238550403714,1.6582286675752316,-0.5743913304699975,2.254455434820793,0.5807119509668026,1.260128482834478,296.0,0.75,0.471879669853408,0.2136930400774355,0.6631785156199586,0.5067061260762346,-0.3788220610343115,0.5640987208980959,0.2956996989280336,1.118449638432459,70.0,0.5571428571428572,1.3489316585214448,0.30081697190380496,0.8040695733282605,0.9023658545012286,-0.3969676604362623,0.7577870992644867,0.6727885539404649,1.4337522684512243,79.0,0.620253164556962,76.83256172839506,0.2136930400774355
"Params(fast_ema=30, slow_ema=100, entry_breakout=20, exit_breakout=20, vol_window=20, target_vol=0.8, stop_atr=1.5, max_leverage=1.5)",652.4116339301354,0.7539102123009997,1.3564053528934383,1.2929627332854488,-0.5743913304699975,1.3125375894585847,0.5572803931355893,1.2984725578034872,449.0,0.7060133630289532,184.70943689679842,1.2949396566920317,1.7693238550403714,1.6582286675752316,-0.5743913304699975,2.254455434820793,0.5807119509668026,1.260128482834478,296.0,0.75,0.471879669853408,0.2136930400774355,0.6631785156199586,0.5067061260762346,-0.3788220610343115,0.5640987208980959,0.2956996989280336,1.118449638432459,70.0,0.5571428571428572,1.3489316585214448,0.30081697190380496,0.8040695733282605,0.9023658545012286,-0.3969676604362623,0.7577870992644867,0.6727885539404649,1.4337522684512243,79.0,0.620253164556962,76.83256172839506,0.2136930400774355
"Params(fast_ema=50, slow_ema=200, entry_breakout=20, exit_breakout=20, vol_window=20, target_vol=0.8, stop_atr=1.5, max_leverage=1.5)",402.0491506935505,0.681978204705066,1.2828945302743078,1.2087767361709052,-0.6155787911674906,1.1078650117422726,0.543842846718152,1.2928920467665033,436.0,0.7408256880733946,105.53366226670067,1.1008461166850054,1.6387999660549217,1.4858427707095885,-0.6155787911674906,1.7883106638504709,0.5341452844519617,1.2398645087581899,284.0,0.7852112676056338,0.41740345307587456,0.19097487799245627,0.6221366383533057,0.4622144639419251,-0.401812679597503,0.4752833538845922,0.28428244056082297,1.1157321591903266,67.0,0.5671641791044776,1.6228138322651122,0.34575797406207864,0.8660369644300444,0.9948636549780802,-0.4239996152962241,0.8154676598480343,0.722245622272116,1.4360227029095505,73.0,0.6301369863013698,76.75925925925927,0.19097487799245627
"Params(fast_ema=50, slow_ema=200, entry_breakout=20, exit_breakout=20, vol_window=20, target_vol=0.8, stop_atr=2.0, max_leverage=1.5)",392.4542087054363,0.6784693256069556,1.2786568722832852,1.2056675977347564,-0.6155787911674906,1.1021648818020329,0.5441987186042729,1.2930087930761052,436.0,0.7408256880733946,105.53366226670067,1.1008461166850054,1.6387999660549217,1.4858427707095885,-0.6155787911674906,1.7883106638504709,0.5341452844519617,1.2398645087581899,284.0,0.7852112676056338,0.41740345307587456,0.19097487799245627,0.6221366383533057,0.4622144639419251,-0.401812679597503,0.4752833538845922,0.28428244056082297,1.1157321591903266,67.0,0.5671641791044776,1.5603754261230751,0.3358092363875136,0.8499851808314708,0.9785062887349759,-0.43771181458222685,0.7671925344487811,0.7235093122468421,1.43612968835619,73.0,0.6301369863013698,76.27121913580247,0.19097487799245627
